;Datenpunkt;Luftgütesensor 2.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 2.MY_HUMIDITY;Luftgütesensor 2.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
28.12.2020 14:31:17,865;2;504.140;34,7;23,2
28.12.2020 14:31:17,868;2;504.140;34,7;23,2
28.12.2020 14:31:17,876;2;504.140;34,7;23,2
28.12.2020 14:35:30,960;2;504.140;34,7;23,2
28.12.2020 14:35:30,964;2;504.140;34,6;23,2
28.12.2020 14:35:30,970;2;503.280;34,6;23,2
28.12.2020 14:39:53,309;2;503.280;34,6;23,2
28.12.2020 14:39:53,313;2;503.280;34,7;23,2
28.12.2020 14:39:53,318;2;496.440;34,7;23,2
28.12.2020 14:44:15,658;2;496.440;34,7;23,3
28.12.2020 14:44:15,668;2;496.440;35,5;23,3
28.12.2020 14:44:15,674;2;482.200;35,5;23,3
28.12.2020 14:48:38,023;2;482.200;35,5;23,3
28.12.2020 14:48:38,026;2;482.200;35,9;23,3
28.12.2020 14:48:38,032;2;470.140;35,9;23,3
28.12.2020 14:53:00,383;2;470.140;35,9;23,3
28.12.2020 14:53:00,392;2;470.140;36,1;23,3
28.12.2020 14:53:00,398;2;463.200;36,1;23,3
28.12.2020 14:57:22,744;2;463.200;36,1;23,4
28.12.2020 14:57:22,747;2;463.200;36,3;23,4
28.12.2020 14:57:22,753;2;462.220;36,3;23,4
28.12.2020 15:01:45,145;2;462.220;36,3;23,4
28.12.2020 15:01:45,147;2;462.220;36,3;23,4
28.12.2020 15:01:45,152;2;459.040;36,3;23,4
28.12.2020 15:10:29,851;2;459.040;36,3;23,3
28.12.2020 15:10:29,854;2;459.040;36;23,3
28.12.2020 15:10:29,860;2;458.440;36;23,3
28.12.2020 15:14:52,208;2;458.440;36;23,3
28.12.2020 15:14:52,219;2;458.440;36,2;23,3
28.12.2020 15:14:52,225;2;455.160;36,2;23,3
28.12.2020 15:19:14,659;2;455.160;36,2;23,4
28.12.2020 15:19:14,671;2;455.160;36,4;23,4
28.12.2020 15:19:14,677;2;451.920;36,4;23,4
28.12.2020 15:23:37,028;2;451.920;36,4;23,4
28.12.2020 15:23:37,031;2;451.920;36,6;23,4
28.12.2020 15:23:37,037;2;447.120;36,6;23,4
28.12.2020 15:27:59,398;2;447.120;36,6;23,4
28.12.2020 15:27:59,401;2;447.120;36,9;23,4
28.12.2020 15:27:59,406;2;443.700;36,9;23,4
28.12.2020 15:32:21,775;2;443.700;36,9;23,5
28.12.2020 15:32:21,778;2;443.700;37,1;23,5
28.12.2020 15:32:21,783;2;441.040;37,1;23,5
28.12.2020 15:36:44,148;2;441.040;37,1;23,5
28.12.2020 15:36:44,157;2;441.040;37,1;23,5
28.12.2020 15:36:44,162;2;437.440;37,1;23,5
28.12.2020 15:41:06,525;2;437.440;37,1;23,5
28.12.2020 15:41:06,528;2;437.440;37,2;23,5
