;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
01.01.2021 00:30:34,060;2;123.040;34,3;26,2
01.01.2021 00:30:34,066;2;121.040;34,3;26,2
01.01.2021 00:35:05,984;2;121.040;34,3;26,2
01.01.2021 00:35:05,988;2;121.040;34,3;26,2
01.01.2021 00:35:05,993;2;118.800;34,3;26,2
01.01.2021 00:39:37,912;2;118.800;34,3;26,3
01.01.2021 00:39:37,922;2;118.800;34,4;26,3
01.01.2021 00:39:37,928;2;117.500;34,4;26,3
01.01.2021 00:39:39,876;2;117.500;34,4;26,3
01.01.2021 00:39:39,880;2;117.500;34,4;26,3
01.01.2021 00:39:39,886;2;117.500;34,4;26,3
01.01.2021 00:39:42,198;2;117.500;34,4;26,3
01.01.2021 00:39:42,200;2;117.500;34,4;26,3
01.01.2021 00:39:42,206;2;117.500;34,4;26,3
01.01.2021 00:39:44,224;2;117.500;34,4;26,3
01.01.2021 00:39:44,227;2;117.500;34,4;26,3
01.01.2021 00:39:44,232;2;117.500;34,4;26,3
01.01.2021 00:39:46,251;2;117.500;34,4;26,3
01.01.2021 00:39:46,253;2;117.500;34,4;26,3
01.01.2021 00:39:46,259;2;117.500;34,4;26,3
01.01.2021 00:44:08,649;2;117.500;34,4;26,1
01.01.2021 00:44:08,652;2;117.500;34,6;26,1
01.01.2021 00:44:08,657;2;116.660;34,6;26,1
01.01.2021 00:48:40,576;2;116.660;34,6;26,1
01.01.2021 00:48:40,580;2;116.660;34,8;26,1
01.01.2021 00:48:40,586;2;115.820;34,8;26,1
01.01.2021 00:53:12,508;2;115.820;34,8;26
01.01.2021 00:53:12,510;2;115.820;34,8;26
01.01.2021 00:53:12,516;2;115.660;34,8;26
01.01.2021 00:57:44,414;2;115.660;34,8;25,9
01.01.2021 00:57:44,424;2;115.660;34,9;25,9
01.01.2021 00:57:44,430;2;115.620;34,9;25,9
01.01.2021 01:02:16,334;2;115.620;34,9;25,8
01.01.2021 01:02:16,337;2;115.620;35;25,8
01.01.2021 01:02:16,342;2;115.540;35;25,8
01.01.2021 01:06:48,238;2;115.540;35;25,6
01.01.2021 01:06:48,241;2;115.540;35,2;25,6
01.01.2021 01:06:48,246;2;115.860;35,2;25,6
01.01.2021 01:11:20,236;2;115.860;35,2;25,5
01.01.2021 01:11:20,245;2;115.860;35,3;25,5
01.01.2021 01:11:20,251;2;115.980;35,3;25,5
01.01.2021 01:15:52,016;2;115.980;35,3;25,5
01.01.2021 01:15:52,025;2;115.980;35,4;25,5
01.01.2021 01:15:52,031;2;115.620;35,4;25,5
01.01.2021 01:20:23,902;2;115.620;35,4;25,4
01.01.2021 01:20:23,912;2;115.620;35,5;25,4
01.01.2021 01:20:23,918;2;115.540;35,5;25,4
01.01.2021 01:24:55,777;2;115.540;35,5;25,4
01.01.2021 01:24:55,786;2;115.540;35,6;25,4
01.01.2021 01:24:55,792;2;115.660;35,6;25,4
01.01.2021 01:29:27,743;2;115.660;35,6;25,3
01.01.2021 01:29:27,747;2;115.660;35,7;25,3
01.01.2021 01:29:27,754;2;115.500;35,7;25,3
01.01.2021 01:33:59,597;2;115.500;35,7;25,3
01.01.2021 01:33:59,606;2;115.500;35,7;25,3
01.01.2021 01:33:59,611;2;115.140;35,7;25,3
01.01.2021 01:38:31,454;2;115.140;35,7;25,2
01.01.2021 01:38:31,456;2;115.140;35,8;25,2
01.01.2021 01:38:31,462;2;115.420;35,8;25,2
01.01.2021 01:43:03,294;2;115.420;35,8;25,1
01.01.2021 01:43:03,296;2;115.420;35,9;25,1
01.01.2021 01:43:03,301;2;115.760;35,9;25,1
01.01.2021 01:47:35,125;2;115.760;35,9;25,1
01.01.2021 01:47:35,133;2;115.760;35,9;25,1
01.01.2021 01:47:35,139;2;116.340;35,9;25,1
01.01.2021 01:52:06,948;2;116.340;35,9;25
01.01.2021 01:52:06,958;2;116.340;36;25
01.01.2021 01:52:06,962;2;116.520;36;25
01.01.2021 01:56:38,768;2;116.520;36;24,9
01.01.2021 01:56:38,776;2;116.520;36,1;24,9
01.01.2021 01:56:38,782;2;116.620;36,1;24,9
01.01.2021 02:05:42,398;2;116.620;36,1;24,8
01.01.2021 02:05:42,411;2;116.620;36,2;24,8
01.01.2021 02:05:42,428;2;117.460;36,2;24,8
01.01.2021 02:10:14,191;2;117.460;36,2;24,7
01.01.2021 02:10:14,198;2;117.460;36,3;24,7
01.01.2021 02:10:14,207;2;117.480;36,3;24,7
01.01.2021 02:14:45,981;2;117.480;36,3;24,7
01.01.2021 02:14:45,994;2;117.480;36,3;24,7
01.01.2021 02:14:46,003;2;118.040;36,3;24,7
01.01.2021 02:19:17,770;2;118.040;36,3;24,6
01.01.2021 02:19:17,781;2;118.040;36,4;24,6
