;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
16.01.2021 03:07:27,325;2;62.100;33,5;24,2
16.01.2021 03:07:27,328;2;62.100;33,5;24,2
16.01.2021 03:07:27,334;2;62.360;33,5;24,2
16.01.2021 03:12:00,075;2;62.360;33,5;24,2
16.01.2021 03:12:00,085;2;62.360;33,5;24,2
16.01.2021 03:12:00,092;2;62.680;33,5;24,2
16.01.2021 03:16:32,832;2;62.680;33,5;24,2
16.01.2021 03:16:32,836;2;62.680;33,5;24,2
16.01.2021 03:16:32,842;2;63.200;33,5;24,2
16.01.2021 03:21:05,579;2;63.200;33,5;24,2
16.01.2021 03:21:05,590;2;63.200;33,4;24,2
16.01.2021 03:21:05,596;2;63.760;33,4;24,2
16.01.2021 03:25:38,341;2;63.760;33,4;24,2
16.01.2021 03:25:38,345;2;63.760;33,4;24,2
16.01.2021 03:25:38,351;2;64.120;33,4;24,2
16.01.2021 03:30:11,081;2;64.120;33,4;24,2
16.01.2021 03:30:11,085;2;64.120;33,4;24,2
16.01.2021 03:30:11,092;2;64.580;33,4;24,2
16.01.2021 03:34:43,839;2;64.580;33,4;24,2
16.01.2021 03:34:43,843;2;64.580;33,4;24,2
16.01.2021 03:34:43,861;2;65.000;33,4;24,2
16.01.2021 03:39:16,593;2;65.000;33,4;24,2
16.01.2021 03:39:16,597;2;65.000;33,4;24,2
16.01.2021 03:39:16,604;2;65.700;33,4;24,2
16.01.2021 03:43:49,401;2;65.700;33,4;24,2
16.01.2021 03:43:49,405;2;65.700;33,4;24,2
16.01.2021 03:43:49,411;2;66.460;33,4;24,2
16.01.2021 03:48:22,160;2;66.460;33,4;24,2
16.01.2021 03:48:22,164;2;66.460;33,4;24,2
16.01.2021 03:48:22,171;2;66.660;33,4;24,2
16.01.2021 03:52:54,915;2;66.660;33,4;24,2
16.01.2021 03:52:54,919;2;66.660;33,4;24,2
16.01.2021 03:52:54,924;2;67.300;33,4;24,2
16.01.2021 03:57:27,672;2;67.300;33,4;24,2
16.01.2021 03:57:27,682;2;67.300;33,4;24,2
16.01.2021 03:57:27,688;2;67.900;33,4;24,2
16.01.2021 04:02:00,430;2;67.900;33,4;24,2
16.01.2021 04:02:00,434;2;67.900;33,4;24,2
16.01.2021 04:02:00,443;2;68.080;33,4;24,2
16.01.2021 04:06:33,196;2;68.080;33,4;24,2
16.01.2021 04:06:33,213;2;68.080;33,4;24,2
16.01.2021 04:06:33,225;2;68.300;33,4;24,2
16.01.2021 04:11:05,951;2;68.300;33,4;24,2
16.01.2021 04:11:05,956;2;68.300;33,4;24,2
16.01.2021 04:11:05,966;2;68.720;33,4;24,2
16.01.2021 04:15:38,710;2;68.720;33,4;24,2
16.01.2021 04:15:38,713;2;68.720;33,4;24,2
16.01.2021 04:15:38,721;2;69.500;33,4;24,2
16.01.2021 04:20:11,470;2;69.500;33,4;24,2
16.01.2021 04:20:11,480;2;69.500;33,4;24,2
16.01.2021 04:20:11,488;2;70.200;33,4;24,2
16.01.2021 04:24:44,228;2;70.200;33,4;24,2
16.01.2021 04:24:44,234;2;70.200;33,5;24,2
16.01.2021 04:24:44,245;2;70.740;33,5;24,2
16.01.2021 04:29:16,977;2;70.740;33,5;24,2
16.01.2021 04:29:16,982;2;70.740;33,4;24,2
16.01.2021 04:29:16,990;2;71.280;33,4;24,2
16.01.2021 04:33:49,730;2;71.280;33,4;24,1
16.01.2021 04:33:49,736;2;71.280;33,4;24,1
16.01.2021 04:33:49,744;2;71.700;33,4;24,1
16.01.2021 04:38:22,484;2;71.700;33,4;24,1
16.01.2021 04:38:22,496;2;71.700;33,4;24,1
16.01.2021 04:38:22,505;2;72.220;33,4;24,1
16.01.2021 04:42:55,239;2;72.220;33,4;24,1
16.01.2021 04:42:55,249;2;72.220;33,4;24,1
16.01.2021 04:42:55,256;2;72.780;33,4;24,1
16.01.2021 04:47:27,994;2;72.780;33,4;24,1
16.01.2021 04:47:27,999;2;72.780;33,4;24,1
16.01.2021 04:47:28,007;2;73.520;33,4;24,1
16.01.2021 04:52:00,799;2;73.520;33,4;24,1
16.01.2021 04:52:00,809;2;73.520;33,4;24,1
16.01.2021 04:52:00,817;2;74.160;33,4;24,1
16.01.2021 04:56:33,551;2;74.160;33,4;24,2
16.01.2021 04:56:33,553;2;74.160;33,4;24,2
16.01.2021 04:56:33,561;2;74.760;33,4;24,2
16.01.2021 05:01:06,307;2;74.760;33,4;24,2
16.01.2021 05:01:06,318;2;74.760;33,5;24,2
16.01.2021 05:01:06,326;2;75.340;33,5;24,2
16.01.2021 05:05:39,064;2;75.340;33,5;24,2
16.01.2021 05:05:39,068;2;75.340;33,4;24,2
16.01.2021 05:05:39,076;2;76.060;33,4;24,2
16.01.2021 05:10:11,815;2;76.060;33,4;24,2
16.01.2021 05:10:11,827;2;76.060;33,4;24,2
16.01.2021 05:10:11,835;2;76.440;33,4;24,2
16.01.2021 05:14:44,568;2;76.440;33,4;24,2
16.01.2021 05:14:44,578;2;76.440;33,4;24,2
16.01.2021 05:14:44,585;2;77.120;33,4;24,2
16.01.2021 05:19:17,315;2;77.120;33,4;24,2
16.01.2021 05:19:17,326;2;77.120;33,4;24,2
16.01.2021 05:19:17,335;2;77.220;33,4;24,2
16.01.2021 05:23:50,065;2;77.220;33,4;24,2
16.01.2021 05:23:50,075;2;77.220;33,4;24,2
16.01.2021 05:23:50,081;2;77.140;33,4;24,2
16.01.2021 05:28:22,822;2;77.140;33,4;24,1
16.01.2021 05:28:22,832;2;77.140;33,4;24,1
16.01.2021 05:28:22,839;2;77.160;33,4;24,1
16.01.2021 05:32:55,580;2;77.160;33,4;24,1
16.01.2021 05:32:55,588;2;77.160;33,4;24,1
16.01.2021 05:32:55,595;2;77.400;33,4;24,1
16.01.2021 05:37:28,329;2;77.400;33,4;24,1
16.01.2021 05:37:28,340;2;77.400;33,4;24,1
16.01.2021 05:37:28,346;2;77.640;33,4;24,1
16.01.2021 05:42:01,082;2;77.640;33,4;24,1
16.01.2021 05:42:01,086;2;77.640;33,4;24,1
16.01.2021 05:42:01,093;2;78.120;33,4;24,1
16.01.2021 05:46:33,832;2;78.120;33,4;24,1
16.01.2021 05:46:33,842;2;78.120;33,4;24,1
16.01.2021 05:46:33,848;2;78.540;33,4;24,1
16.01.2021 05:51:06,583;2;78.540;33,4;24,1
16.01.2021 05:51:06,592;2;78.540;33,3;24,1
16.01.2021 05:51:06,599;2;78.620;33,3;24,1
16.01.2021 05:55:39,330;2;78.620;33,3;24,1
16.01.2021 05:55:39,339;2;78.620;33,3;24,1
16.01.2021 05:55:39,345;2;78.500;33,3;24,1
16.01.2021 06:00:12,133;2;78.500;33,3;24,1
16.01.2021 06:00:12,137;2;78.500;33,3;24,1
16.01.2021 06:00:12,144;2;78.440;33,3;24,1
16.01.2021 06:04:44,886;2;78.440;33,3;24,2
16.01.2021 06:04:44,889;2;78.440;33,3;24,2
16.01.2021 06:04:44,895;2;78.660;33,3;24,2
16.01.2021 06:09:17,639;2;78.660;33,3;24,2
16.01.2021 06:09:17,643;2;78.660;33,3;24,2
16.01.2021 06:09:17,648;2;78.760;33,3;24,2
16.01.2021 06:13:50,386;2;78.760;33,3;24,2
16.01.2021 06:13:50,389;2;78.760;33,3;24,2
16.01.2021 06:13:50,394;2;78.960;33,3;24,2
16.01.2021 06:18:23,136;2;78.960;33,3;24,2
16.01.2021 06:18:23,148;2;78.960;33,3;24,2
16.01.2021 06:18:23,155;2;79.620;33,3;24,2
16.01.2021 06:22:55,879;2;79.620;33,3;24,2
16.01.2021 06:22:55,891;2;79.620;33,2;24,2
16.01.2021 06:22:55,898;2;80.260;33,2;24,2
16.01.2021 06:27:28,628;2;80.260;33,2;24,2
16.01.2021 06:27:28,632;2;80.260;33,2;24,2
16.01.2021 06:27:28,639;2;80.840;33,2;24,2
16.01.2021 06:32:01,363;2;80.840;33,2;24,2
16.01.2021 06:32:01,373;2;80.840;33,2;24,2
16.01.2021 06:32:01,380;2;81.460;33,2;24,2
16.01.2021 06:36:34,110;2;81.460;33,2;24,1
16.01.2021 06:36:34,119;2;81.460;33,2;24,1
16.01.2021 06:36:34,124;2;82.160;33,2;24,1
16.01.2021 06:41:06,854;2;82.160;33,2;24,1
16.01.2021 06:41:06,864;2;82.160;33,2;24,1
